text,pIC50,mol,num_atoms,logP
N#CC1CC(C(=O)NCC(F)(F)F)CCC1n1cc(C(N)=O)c(Nc2ccc(Cl)cc2)n1,6.66,<rdkit.Chem.rdchem.Mol object at 0x7f59a2940970>,32,3.53848
CN1CCN(c2cc(C(N)=O)c3nc4cc(C(=O)N5CCOCC5)ccc4c-3[nH]2)CC1,6.66,<rdkit.Chem.rdchem.Mol object at 0x7f59a29409e0>,31,0.990800000000001
Cc1ccc(Cl)cc1-c1cn(-c2ccnc(N)n2)cc1C(N)=O,6.66,<rdkit.Chem.rdchem.Mol object at 0x7f59a2940a50>,23,2.57722
N#CC1CCCC(F)C1n1cc(C(N)=O)c(Nc2ccccc2)n1,6.67,<rdkit.Chem.rdchem.Mol object at 0x7f59a2940ac0>,24,2.92848
CC(NC1CCC(n2cc(C(N)=O)c(Nc3ccc(Cl)c(F)c3)n2)C(C#N)C1)C1CC1,6.67,<rdkit.Chem.rdchem.Mol object at 0x7f59a2940b30>,31,4.13958
CC(NC1CCC(n2cc(C(N)=O)c(Nc3ccc(Cl)cc3)n2)C(C#N)C1)C1CC1,6.67,<rdkit.Chem.rdchem.Mol object at 0x7f59a2940ba0>,30,4.00048
CCOC(=O)c1c[nH]c2ncnc(-c3ccc(CO)c(N)c3)c12,6.67,<rdkit.Chem.rdchem.Mol object at 0x7f59a2940c10>,23,1.8761
COc1ccc(-c2cccn3nc(Nc4ccc(C(=O)O)cc4)nc23)cc1,6.67,<rdkit.Chem.rdchem.Mol object at 0x7f59a2940c80>,27,3.8467
CCOc1ccccc1-c1cccn2nc(Nc3ccc4c(c3)CCN(CC(=O)N(C)C)CC4)nc12,6.67,<rdkit.Chem.rdchem.Mol object at 0x7f59a2940cf0>,36,4.0274
CC(=O)Nc1cccc(-c2ccc(C(N)=O)c3[nH]c4cc(C(=O)N5CCN(C)CC5)ccc4c23)c1C,6.67,<rdkit.Chem.rdchem.Mol object at 0x7f59a2940d60>,36,3.74142
Cc1ccc(Cl)cc1-n1cc(-c2ccnc(N)n2)cc1C(N)=O,6.67,<rdkit.Chem.rdchem.Mol object at 0x7f59a2940dd0>,23,2.57722
CC1(F)CCCC1Nc1c(C(N)=O)cnn2cccc12,6.68,<rdkit.Chem.rdchem.Mol object at 0x7f59a2940e40>,20,2.1258
CC(C)(NC1CCC(n2cc(C(N)=O)c(Nc3ccc(Cl)cc3)n2)C(C#N)C1)C1CC1,6.68,<rdkit.Chem.rdchem.Mol object at 0x7f59a2940eb0>,31,4.39058
FC(F)COc1ccc(C(F)F)cc1-c1cccn2nc(Nc3ccc4c(c3)CCNCC4)nc12,6.69,<rdkit.Chem.rdchem.Mol object at 0x7f59a2940f20>,35,5.4096
N#CC1CN(C(=O)C(NC(=O)c2c[nH]c3ncc(C4CC4)nc23)C2CC2)C1,6.69,<rdkit.Chem.rdchem.Mol object at 0x7f59a2940f90>,27,1.32568
Oc1ccc(C2Nc3ccccc3-c3ncnc4[nH]cc2c34)c(F)c1,6.7,<rdkit.Chem.rdchem.Mol object at 0x7f59a2941000>,25,3.9845
O=c1[nH]ccc2c(NC3CC3)nc3ccc(F)cc3c12,6.7,<rdkit.Chem.rdchem.Mol object at 0x7f59a2941070>,20,2.7897
CC(NC1CCC(n2cc(C(N)=O)c(Nc3ccc(C(F)(F)F)nc3)n2)C(C#N)C1)C1CC1,6.7,<rdkit.Chem.rdchem.Mol object at 0x7f59a29410e0>,33,3.76088
CC(NC1CCC(n2cc(C(N)=O)c(Nc3ccc(OC(F)(F)F)cc3)n2)C(C#N)C1)C1CC1,6.7,<rdkit.Chem.rdchem.Mol object at 0x7f59a2941150>,34,4.24568
CN(C)C(=O)N1CCc2ccc(Nc3nc4c(-c5cc(Cl)ccc5OCC(F)F)cccn4n3)cc2CC1,6.7,<rdkit.Chem.rdchem.Mol object at 0x7f59a29411c0>,38,5.51940000000001
N#CCC(=O)N1CCC(Nc2c(C(N)=O)cnc3[nH]ccc23)CC1,6.7,<rdkit.Chem.rdchem.Mol object at 0x7f59a2941230>,24,0.97838
NS(=O)(=O)N1CCC(NC(=O)c2cnn3ccc(N4CCCC4c4cc(F)ccc4F)nc23)CC1,6.71,<rdkit.Chem.rdchem.Mol object at 0x7f59a29412a0>,35,1.7467
CN(C)c1cccc(-c2cccn3nc(Nc4ccc(C5CCN(C(=O)OC(C)(C)C)CC5)cc4)nc23)c1,6.71,<rdkit.Chem.rdchem.Mol object at 0x7f59a2941310>,38,6.32040000000001
CN(C)C(=O)CN1CCc2ccc(Nc3nc4c(-c5ccccc5OCC(F)F)cccn4n3)cc2CC1,6.71,<rdkit.Chem.rdchem.Mol object at 0x7f59a2941380>,38,4.2726
CC1(NC2CCC(n3cc(C(N)=O)c(Nc4ccc(Cl)cc4)n3)C(C#N)C2)CC1,6.71,<rdkit.Chem.rdchem.Mol object at 0x7f59a29413f0>,29,3.75448
Nc1nc2c(-c3ccc(C(F)(F)F)cc3)cccn2n1,6.71,<rdkit.Chem.rdchem.Mol object at 0x7f59a2941460>,20,2.9973
Cc1cc(Nc2nc3cccc(-c4cccc(C(C)C)c4)n3n2)ccn1,6.72,<rdkit.Chem.rdchem.Mol object at 0x7f59a29414d0>,26,4.96672
COc1ncccc1-c1cccn2nc(Nc3ccc4ncccc4c3)nc12,6.72,<rdkit.Chem.rdchem.Mol object at 0x7f59a2941540>,28,4.0917
CS(=O)(=O)N1CCC(Nc2c(C(N)=O)cnc3[nH]ccc23)CC1,6.72,<rdkit.Chem.rdchem.Mol object at 0x7f59a29415b0>,23,0.497700000000001
Cc1c[nH]c2c(Nc3nc(NC4CCCCC4N)cc4nc[nH]c(=O)c34)cccc12,6.72,<rdkit.Chem.rdchem.Mol object at 0x7f59a2941620>,30,3.53322
CCOC(=O)c1c[nH]c2ncnc(-c3ccc4ccccc4c3)c12,6.73,<rdkit.Chem.rdchem.Mol object at 0x7f59a2941690>,24,3.9548
N#CC1CCC(O)CC1n1cc(C(N)=O)c(Nc2ccccc2)n1,6.73,<rdkit.Chem.rdchem.Mol object at 0x7f59a2941700>,24,1.95128
Cc1ccc(Cl)c(-c2[nH]c(-c3ccnc(N)n3)cc2C(N)=O)c1,6.73,<rdkit.Chem.rdchem.Mol object at 0x7f59a2941770>,23,2.78162
N#CC1CC(NC2(C(F)(F)F)CC2)CCC1n1cc(C(N)=O)c(Nc2ccc(Cl)cc2)n1,6.73,<rdkit.Chem.rdchem.Mol object at 0x7f59a29417e0>,32,4.29688
CC(=O)Nc1ccc(-c2ncnc3c2cc(C(N)=O)n3C)cc1,6.74,<rdkit.Chem.rdchem.Mol object at 0x7f59a2941850>,23,1.6926
COc1ccccc1-c1c[nH]c2ncnc(-c3ccccc3)c12,6.74,<rdkit.Chem.rdchem.Mol object at 0x7f59a29418c0>,23,4.3005
CN1CCN(c2cccc(Nc3nc4c(NCc5ccccc5F)cccn4n3)c2)CC1,6.74,<rdkit.Chem.rdchem.Mol object at 0x7f59a2941930>,32,3.9759
[C-]#[N+]C1CC(OC(C)=O)C(O)CC1n1cc(C(N)=O)c(Nc2ccc(C(F)(F)F)cc2)n1,6.74,<rdkit.Chem.rdchem.Mol object at 0x7f59a29419a0>,32,2.65979
N#CCC(=O)N1CCCC(NC(=O)Nc2cnc3[nH]ccc3n2)C1,6.74,<rdkit.Chem.rdchem.Mol object at 0x7f59a2941a10>,24,0.984079999999999
Cc1c[nH]c2c(Nc3nc(NC4CCOCC4N)cc4nc[nH]c(=O)c34)cccc12,6.74,<rdkit.Chem.rdchem.Mol object at 0x7f59a2941a80>,30,2.37952
CCC(C)n1cc(-c2ccn(C)n2)c2n[nH]c(N)c2c1=O,6.75,<rdkit.Chem.rdchem.Mol object at 0x7f59a2941af0>,21,1.6783
CC1(C)CCC(C#N)C(n2cc(C(N)=O)c(Nc3ccccc3)n2)C1,6.75,<rdkit.Chem.rdchem.Mol object at 0x7f59a2941b60>,25,3.61658
CN(c1[nH]cnc2nccc1-2)C1CC(NS(=O)(=O)C2CC(F)(F)C2)C1,6.75,<rdkit.Chem.rdchem.Mol object at 0x7f59a2941bd0>,25,1.5938
N#CC1CC(N2CCC2)CCC1n1cc(C(N)=O)c(Nc2ccc(C(F)(F)F)nc2)n1,6.75,<rdkit.Chem.rdchem.Mol object at 0x7f59a2941c40>,31,3.07848
Cc1cccc(Nc2sc(-c3ccc(F)cc3F)cc2C(N)=O)n1,6.75,<rdkit.Chem.rdchem.Mol object at 0x7f59a2941cb0>,24,4.23922
Cc1ccc(Nc2sc(-c3ccccc3)cc2C(N)=O)nc1,6.75,<rdkit.Chem.rdchem.Mol object at 0x7f59a2941d20>,22,3.96102
CN(CCC(F)(F)F)C1CCC(n2cc(C(N)=O)c(Nc3ccc(S(=O)(=O)C(F)(F)F)cc3)n2)C(C#N)C1,6.75,<rdkit.Chem.rdchem.Mol object at 0x7f59a2941d90>,38,4.13668
CN(C)C1CCC(n2cc(C(N)=O)c(Nc3ccc(Cl)c(F)c3)n2)C(C#N)C1,6.76,<rdkit.Chem.rdchem.Mol object at 0x7f59a2941e00>,28,3.31308
CC(NC1CCC(n2cc(C(N)=O)c(Nc3ccc(OC(F)F)nc3)n2)C(C#N)C1)C1CC1,6.76,<rdkit.Chem.rdchem.Mol object at 0x7f59a2941e70>,33,3.34348
COc1ccc(-c2cccc3nc(Nc4ccnc(C)c4)nn23)cc1,6.76,<rdkit.Chem.rdchem.Mol object at 0x7f59a2941ee0>,25,3.85192
NC(=O)c1cc(-c2ccccc2)sc1Nc1ccncc1,6.76,<rdkit.Chem.rdchem.Mol object at 0x7f59a2941f50>,21,3.6526
O=c1[nH]c2cnc(-n3cnc4ccccc43)nc2n1C1CCOc2ccccc21,6.77,<rdkit.Chem.rdchem.Mol object at 0x7f59a2941fc0>,29,2.8304
CN(c1[nH]cnc2nccc1-2)C1CC(NS(=O)(=O)N2CC(C#N)C2)C1,6.77,<rdkit.Chem.rdchem.Mol object at 0x7f59a2942030>,25,0.16648
COc1ccc(-c2nc3c4ccc(OC)cc4nc-3c(C(N)=O)[nH]2)cc1,6.77,<rdkit.Chem.rdchem.Mol object at 0x7f59a29420a0>,26,2.8458
CC1(C)C(N)CCC1Nc1c(C(N)=O)cnn2cccc12,6.77,<rdkit.Chem.rdchem.Mol object at 0x7f59a2942110>,21,1.361
N#CC1CCC(NCc2ccccc2)CC1n1cc(C(N)=O)c(Nc2ccc(F)cc2)n1,6.77,<rdkit.Chem.rdchem.Mol object at 0x7f59a2942180>,32,3.88788
CN(C1CCC(n2cc(C(N)=O)c(Nc3ccc(S(=O)(=O)C(F)(F)F)cc3)n2)C(C#N)C1)C(C1CC1)C1CC1,6.77,<rdkit.Chem.rdchem.Mol object at 0x7f59a29421f0>,39,4.37288
COCC(C)(C)NC1CCC(n2cc(C(N)=O)c(Nc3ccccc3)n2)C(C#N)C1,6.77,<rdkit.Chem.rdchem.Mol object at 0x7f59a2942260>,30,2.97358
CCOC(=O)c1c[nH]c2ncnc(-c3ccccc3F)c12,6.78,<rdkit.Chem.rdchem.Mol object at 0x7f59a29422d0>,21,2.9407
Cc1cc(Nc2nc3cccc(-c4cnn(CC(C)C)c4)n3n2)ccn1,6.78,<rdkit.Chem.rdchem.Mol object at 0x7f59a2942340>,26,3.69582
CP(C)(=O)c1ccc(-c2cccn3nc(Nc4cccc(C5CCN(CCS(C)(=O)=O)CC5)c4)nc23)cc1,6.78,<rdkit.Chem.rdchem.Mol object at 0x7f59a29423b0>,38,4.6119
CC(Nc1cc(-c2cccc(N(C)C)c2)nc(-n2cnc3ccncc32)n1)c1ccccc1,6.78,<rdkit.Chem.rdchem.Mol object at 0x7f59a2942420>,33,5.1166
CN(c1[nH]cnc2nccc1-2)C1CC(CS(=O)(=O)CC2CC(F)(F)C2)C1,6.79,<rdkit.Chem.rdchem.Mol object at 0x7f59a2942490>,26,2.5844
COc1ccc(-c2cccn3nc(Nc4ccc(C5CCN(C(=O)OC(C)(C)C)CC5)cc4)nc23)c(F)c1,6.79,<rdkit.Chem.rdchem.Mol object at 0x7f59a2942500>,38,6.40210000000001
N#CC1CC(OC(=O)NC2CCCCC2)CCC1n1cc(C(N)=O)c(Nc2ccc(F)cc2)n1,6.79,<rdkit.Chem.rdchem.Mol object at 0x7f59a2942570>,34,4.15698
NC(=O)c1cc(-c2ccccc2)sc1Nc1ccc(F)cn1,6.79,<rdkit.Chem.rdchem.Mol object at 0x7f59a29425e0>,22,3.7917
Oc1ccc(-c2nc3ccccc3c3ncnc4[nH]cc2c43)c(Cl)c1,6.8,<rdkit.Chem.rdchem.Mol object at 0x7f59a2942650>,25,4.4664
COc1cc(-c2cc(C(N)=O)c3[nH]c4ccc(C(=O)N5CCOC(CO)C5)cc4c3c2)cc(OC)c1OC,6.8,<rdkit.Chem.rdchem.Mol object at 0x7f59a29426c0>,38,2.9461
COc1ccc(C(F)(F)F)cc1-c1cccn2nc(Nc3cccc(N4CCN(C)CC4)c3)nc12,6.8,<rdkit.Chem.rdchem.Mol object at 0x7f59a2942730>,35,4.91910000000001
CCOc1ccc(C(F)(F)F)cc1-c1cccn2nc(Nc3ccc4c(c3)CCN(CCS(C)(=O)=O)CC4)nc12,6.8,<rdkit.Chem.rdchem.Mol object at 0x7f59a29427a0>,40,5.00260000000001
COc1cc(-c2cc(C(N)=O)c3[nH]c4cc(C(=O)N5CCN(C)CC5)ccc4c3c2)ccc1NC(=O)OC(C)(C)C,6.8,<rdkit.Chem.rdchem.Mol object at 0x7f59a2942810>,41,4.8302
COc1cccc(-c2cc(C(N)=O)c3[nH]c4cc(NC(=O)OC(C)(C)C)ccc4c3c2)c1,6.8,<rdkit.Chem.rdchem.Mol object at 0x7f59a2942880>,32,5.4426
CC(C)Cn1cc(-c2cccn3nc(Nc4ccc(C(=O)O)cc4)nc23)cn1,6.81,<rdkit.Chem.rdchem.Mol object at 0x7f59a29428f0>,28,3.6906
O=C(NC1CC2CCC1C2)c1cnn2ccc(N3CCCC3c3cc(F)ccc3F)nc12,6.81,<rdkit.Chem.rdchem.Mol object at 0x7f59a2942960>,32,4.2674
COC1CCN(c2nccc(Nc3cc4c(cn3)cc(-c3cn[nH]c3)n4C(C)C)n2)CC1,6.81,<rdkit.Chem.rdchem.Mol object at 0x7f59a29429d0>,32,4.1561
Cc1ccc(Cl)cc1-c1[nH]c(-c2ccnc(N)n2)cc1C(=O)NCc1ccccc1,6.81,<rdkit.Chem.rdchem.Mol object at 0x7f59a2942a40>,30,4.61272
Cc1cccc(Nc2sc(-c3cccc(F)c3)cc2C(N)=O)n1,6.81,<rdkit.Chem.rdchem.Mol object at 0x7f59a2942ab0>,23,4.10012
CS(=O)(=O)c1ccc(Nc2nn(C3CCOCC3)cc2C(N)=O)cc1,6.82,<rdkit.Chem.rdchem.Mol object at 0x7f59a2942b20>,25,1.4806
CC(c1ccccc1)N(C)c1ccnc(-n2cnc3ccncc32)n1,6.82,<rdkit.Chem.rdchem.Mol object at 0x7f59a2942b90>,25,3.4079
CC(C)n1cc(-c2cccn3nc(Nc4ccc(C(=O)O)cc4)nc23)cn1,6.82,<rdkit.Chem.rdchem.Mol object at 0x7f59a2942c00>,27,3.6155
CCCOC(=O)c1c[nH]c2ncnc(-c3ccc4cn(C)nc4c3)c12,6.82,<rdkit.Chem.rdchem.Mol object at 0x7f59a2942c70>,25,3.0784
CC(C)Oc1ccc2[nH]c3c(C(N)=O)cc(-c4ccc(Cl)c(Cl)c4)cc3c2c1,6.82,<rdkit.Chem.rdchem.Mol object at 0x7f59a2942ce0>,28,6.181
CC1(O)CCCC1Nc1c(C(N)=O)cnn2cccc12,6.82,<rdkit.Chem.rdchem.Mol object at 0x7f59a2942d50>,20,1.1486
CC(C)c1ccc(Cl)cc1-c1[nH]c(-c2ccnc(N)n2)cc1C(N)=O,6.82,<rdkit.Chem.rdchem.Mol object at 0x7f59a2942dc0>,25,3.5966
[C-]#[N+]C1CC(OCC2CC2)CCC1n1cc(C(N)=O)c(Nc2ccnc(F)c2)n1,6.82,<rdkit.Chem.rdchem.Mol object at 0x7f59a2942e30>,29,3.06779
N#CC1CC(NC(C2CC2)C(F)(F)F)CCC1n1cc(C(N)=O)c(Nc2ccc(C(F)(F)F)cc2)n1,6.82,<rdkit.Chem.rdchem.Mol object at 0x7f59a2942ea0>,36,4.90828
CC(NC1CCC(n2cc(C(N)=O)c(Nc3ccc(OC(F)F)nc3)n2)C(C#N)C1)C1CC1,6.84,<rdkit.Chem.rdchem.Mol object at 0x7f59a2942f10>,33,3.34348
CCOC(=O)c1c[nH]c2ncnc(-c3cccc(Cl)c3)c12,6.84,<rdkit.Chem.rdchem.Mol object at 0x7f59a2942f80>,21,3.455
CCOC(=O)c1c[nH]c2ncnc(-c3cccc(C)c3)c12,6.84,<rdkit.Chem.rdchem.Mol object at 0x7f59a2942ff0>,21,3.11002
CN1CCN(c2ccc(Nc3nc4c(NCc5cccc(N(C)S(C)(=O)=O)c5)cccn4n3)cc2)CC1,6.84,<rdkit.Chem.rdchem.Mol object at 0x7f59a2943060>,37,3.2326
CN(Cc1ccccc1Nc1cccn2nc(Nc3ccc(OCCN4CCCC4)cc3)nc12)S(C)(=O)=O,6.84,<rdkit.Chem.rdchem.Mol object at 0x7f59a29430d0>,38,4.0825
CN1CCN(c2cccc(Nc3nc4c(OCc5ccccc5C(N)=O)cccn4n3)c2)CC1,6.84,<rdkit.Chem.rdchem.Mol object at 0x7f59a2943140>,34,2.9026
Cc1noc(C)c1-c1cc(C(N)=O)c2[nH]c3cc(C(=O)N4CCOCC4)ccc3c2n1,6.84,<rdkit.Chem.rdchem.Mol object at 0x7f59a29431b0>,31,2.55924
N#Cc1ccc(Nc2sc(-c3ccccc3)cc2C(N)=O)nc1,6.84,<rdkit.Chem.rdchem.Mol object at 0x7f59a2943220>,23,3.52428
Cc1cccc(Nc2ccnc(Nc3ccc(N4CCN(C)CC4)cc3)n2)c1,6.85,<rdkit.Chem.rdchem.Mol object at 0x7f59a2943290>,28,4.02402
Oc1ccc(C2Nc3ccccc3-c3ncnc4[nH]cc2c34)cc1F,6.85,<rdkit.Chem.rdchem.Mol object at 0x7f59a2943300>,25,3.9845
CC(C)C(C)n1cc(-c2ccc(N3CCOCC3)cn2)c2n[nH]c(N)c2c1=O,6.85,<rdkit.Chem.rdchem.Mol object at 0x7f59a2943370>,28,2.4224
COCC(C)Nc1cc(-c2ccoc2)nc(-n2cnc3ccncc32)n1,6.85,<rdkit.Chem.rdchem.Mol object at 0x7f59a29433e0>,26,2.9173
NC(=O)c1cc(N2CCOCC2)[nH]c2c3ccc(C(=O)N4CCOCC4)cc3nc1-2,6.85,<rdkit.Chem.rdchem.Mol object at 0x7f59a2943450>,30,1.0756
CS(=O)(=O)N1CCC(n2c(=O)[nH]c3cnc4[nH]ccc4c32)CC1,6.85,<rdkit.Chem.rdchem.Mol object at 0x7f59a29434c0>,23,0.8024
Cc1cccc(Nc2sc(-c3ccc(F)cc3)cc2C(N)=O)n1,6.85,<rdkit.Chem.rdchem.Mol object at 0x7f59a2943530>,23,4.10012
CC1(C)CN(C2CCC(n3cc(C(N)=O)c(Nc4ccnc(F)c4)n3)C(C#N)C2)C1,6.85,<rdkit.Chem.rdchem.Mol object at 0x7f59a29435a0>,30,2.83488
N#Cc1ccc2oc(-c3nc(Nc4ccc(N5CCNCC5)cc4)ncc3C(F)(F)F)cc2c1,6.86,<rdkit.Chem.rdchem.Mol object at 0x7f59a2943610>,34,4.93348
CCOC(=O)c1c[nH]c2ncnc(-c3ccc4cc[nH]c4c3)c12,6.86,<rdkit.Chem.rdchem.Mol object at 0x7f59a2943680>,23,3.2829
COc1ccc(-c2cccc3nc(NC(=O)C4CC4)nn23)cc1,6.86,<rdkit.Chem.rdchem.Mol object at 0x7f59a29436f0>,23,2.7534
CCOC(=O)c1c[nH]c2ncnc(-c3ccc(OC)cc3)c12,6.87,<rdkit.Chem.rdchem.Mol object at 0x7f59a2943760>,22,2.8102
CCOC(=O)c1c[nH]c2ncnc(-c3ccc(O)cc3)c12,6.87,<rdkit.Chem.rdchem.Mol object at 0x7f59a29437d0>,21,2.5072
CN(c1ccccc1CNc1cccn2nc(Nc3ccc4c(c3)CCC(N3CCOCC3)CC4)nc12)S(C)(=O)=O,6.87,<rdkit.Chem.rdchem.Mol object at 0x7f59a2943840>,41,4.0604
COc1cnc(-c2cccn3nc(Nc4ccc(C5CCN(CC(=O)N(C)C)CC5)cc4)nc23)cn1,6.87,<rdkit.Chem.rdchem.Mol object at 0x7f59a29438b0>,36,3.2061
CCOc1ccc(C(F)(F)F)cc1-c1cccn2nc(Nc3ccc4c(c3)CCNCC4)nc12,6.87,<rdkit.Chem.rdchem.Mol object at 0x7f59a2943920>,34,5.24560000000001
CC1CCN(C(=O)C(C)NC(=O)c2c[nH]c3ncc(C4CC4)nc23)C1,6.87,<rdkit.Chem.rdchem.Mol object at 0x7f59a2943990>,25,1.822
COc1ccccc1-c1cccn2nc(Nc3ccccc3)nc12,6.87,<rdkit.Chem.rdchem.Mol object at 0x7f59a2943a00>,24,4.1485
CN(CC1CC1)C1CCC(n2cc(C(N)=O)c(Nc3ccc(C(F)(F)F)cc3)n2)C(C#N)C1,6.87,<rdkit.Chem.rdchem.Mol object at 0x7f59a2943a70>,33,4.31958
COc1ncc(C(F)(F)F)cc1-c1cccn2nc(Nc3ccc(C4CCNCC4)cc3)nc12,6.88,<rdkit.Chem.rdchem.Mol object at 0x7f59a2943ae0>,34,5.0293
NC(=O)c1cc(-c2ccc(CN3CCOCC3)c(Cl)c2)cc2c1[nH]c1cc(-c3cccnc3)ccc12,6.88,<rdkit.Chem.rdchem.Mol object at 0x7f59a2943b50>,36,5.6346
CNc1cc(-c2cc(C(N)=O)n(-c3cc(Cl)ccc3C)c2)ncn1,6.88,<rdkit.Chem.rdchem.Mol object at 0x7f59a2943bc0>,24,3.03672
NS(=O)(=O)c1cccc(Nc2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)c1,6.89,<rdkit.Chem.rdchem.Mol object at 0x7f59a2943c30>,30,2.4478
FC(F)COc1ccccc1-c1cccn2nc(Nc3ccc4c(c3)CCNCC4)nc12,6.89,<rdkit.Chem.rdchem.Mol object at 0x7f59a2943ca0>,32,4.472
CC1(C)CCCC1Nc1c(C(N)=O)cnn2cccc12,6.89,<rdkit.Chem.rdchem.Mol object at 0x7f59a2943d10>,20,2.4238
CC1(C)C(O)CCC1Nc1c(C(N)=O)cnn2cccc12,6.89,<rdkit.Chem.rdchem.Mol object at 0x7f59a2943d80>,21,1.3946
CC1(C)C(N)CCC1Nc1c(C(N)=O)cnn2cccc12,6.89,<rdkit.Chem.rdchem.Mol object at 0x7f59a2943df0>,21,1.361
CC1(F)CCCC1Nc1c(C(N)=O)cnn2cccc12,6.89,<rdkit.Chem.rdchem.Mol object at 0x7f59a2943e60>,20,2.1258
CC(C)(C(=O)O)c1ccc(Nc2nn(C3CCC(N4CCC4)CC3C#N)cc2C(N)=O)cc1,6.89,<rdkit.Chem.rdchem.Mol object at 0x7f59a2943ed0>,33,3.02688
Cc1cc(Nc2nccc(Nc3cccc(S(N)(=O)=O)c3)n2)ccc1N1CCN(C)CC1,6.9,<rdkit.Chem.rdchem.Mol object at 0x7f59a2943f40>,32,2.67142
CCOC(=O)c1c[nH]c2ncnc(-c3ccc(Cl)c(N)c3)c12,6.9,<rdkit.Chem.rdchem.Mol object at 0x7f59a2944040>,22,3.0372
CCOC(=O)c1c[nH]c2ncnc(-c3cccc(O)c3)c12,6.9,<rdkit.Chem.rdchem.Mol object at 0x7f59a29440b0>,21,2.5072
CN(c1[nH]cnc2nccc1-2)C1CCC(CS(=O)(=O)N2CCCC(CN3CCCC3)C2)CC1,6.9,<rdkit.Chem.rdchem.Mol object at 0x7f59a2944120>,33,3.0421
CC1CN(S(=O)(=O)CC2CCC(N(C)c3[nH]cnc4nccc3-4)CC2)CCN1C,6.9,<rdkit.Chem.rdchem.Mol object at 0x7f59a2944190>,29,1.8702
N#CC1CC(N2CC3(CCC3)C2)CCC1n1cc(C(N)=O)c(Nc2ccnc(F)c2)n1,6.91,<rdkit.Chem.rdchem.Mol object at 0x7f59a2944200>,31,2.97898
COCC(C)Nc1ccnc(-n2cnc3ccc(C#N)cc32)n1,6.91,<rdkit.Chem.rdchem.Mol object at 0x7f59a2944270>,23,2.13398
Cc1cccc(-c2cc(C(N)=O)c3[nH]c4cc(N5CCN(Cc6ccccc6)CC5)ccc4c3c2)c1,6.91,<rdkit.Chem.rdchem.Mol object at 0x7f59a29442e0>,36,5.71762000000001
CC(NC(=O)c1c[nH]c2ncc(C3CC3)nc12)C(=O)N1CCCCC1,6.91,<rdkit.Chem.rdchem.Mol object at 0x7f59a2944350>,25,1.9661
N#CC1CCCCC1n1cc(C(N)=O)c(Nc2ccnc(C(F)(F)F)c2)n1,6.91,<rdkit.Chem.rdchem.Mol object at 0x7f59a29443c0>,27,3.39428
CC(Nc1ncc(Cl)c(Nc2cn(C)cn2)n1)c1ncc(F)cn1,6.92,<rdkit.Chem.rdchem.Mol object at 0x7f59a2944430>,24,2.7093
Clc1cnc2nc1NCCc1cccc(c1)OCCCc1cccc(c1)N2,6.92,<rdkit.Chem.rdchem.Mol object at 0x7f59a29444a0>,27,4.8532
CCOC(=O)c1c[nH]c2ncnc(-c3cccc(F)c3)c12,6.92,<rdkit.Chem.rdchem.Mol object at 0x7f59a2944510>,21,2.9407
CCOC(=O)c1c[nH]c2ncnc(-c3ccc(-n4cccn4)cc3)c12,6.92,<rdkit.Chem.rdchem.Mol object at 0x7f59a2944580>,25,2.9873
CC(NC(=O)c1c[nH]c2ncc(C3CC3)nc12)C(=O)N1CCCC1,6.92,<rdkit.Chem.rdchem.Mol object at 0x7f59a29445f0>,24,1.576
CC1(C#N)CCCC1Nc1c(C(N)=O)cnn2cccc12,6.92,<rdkit.Chem.rdchem.Mol object at 0x7f59a2944660>,21,1.92748
N#CC1CC(N2CCC2)CCC1n1cc(C(N)=O)c(Nc2ccc(Cl)c(F)c2)n1,6.92,<rdkit.Chem.rdchem.Mol object at 0x7f59a29446d0>,29,3.45718
N#CC1CCCCC1n1cc(C(N)=O)c(Nc2ccc(S(=O)(=O)C(F)(F)F)cc2)n1,6.92,<rdkit.Chem.rdchem.Mol object at 0x7f59a2944740>,30,3.27398
NC1CCCCC1Nc1cc2nc[nH]c(=O)c2c(Nc2cccc(-n3nccn3)c2)n1,6.92,<rdkit.Chem.rdchem.Mol object at 0x7f59a29447b0>,31,2.3242
N#CC1CCCCC1n1cc(C(N)=O)c(Nc2cc(Cl)cc(Cl)c2)n1,6.92,<rdkit.Chem.rdchem.Mol object at 0x7f59a2944820>,25,4.28728
N#CC1CC(N2CC3(CCC3)C2)CCC1n1cc(C(N)=O)c(Nc2ccc(C(F)(F)F)cc2)n1,6.92,<rdkit.Chem.rdchem.Mol object at 0x7f59a2944890>,34,4.46368
Clc1cnc2nc1NCCCc1cccc(c1)OCc1cccc(c1)N2,6.93,<rdkit.Chem.rdchem.Mol object at 0x7f59a2944900>,26,4.8107
CN(C)C(=O)c1ccc(Nc2nc3c(-c4ccc(S(C)(=O)=O)cc4)cccn3n2)cc1,6.93,<rdkit.Chem.rdchem.Mol object at 0x7f59a2944970>,31,3.2452
CC(C)c1cccc(-c2cccc3nc(Nc4ccnc(CO)c4)nn23)c1,6.93,<rdkit.Chem.rdchem.Mol object at 0x7f59a29449e0>,27,4.1506
CN(c1ccccc1CNc1cccn2nc(Nc3ccc4cnccc4c3)nc12)S(C)(=O)=O,6.93,<rdkit.Chem.rdchem.Mol object at 0x7f59a2944a50>,34,4.029
